time CL CT CH
237.025001526 1.11127498256e+14 4.88725335335e+13 1.60000031789e+14
238.025001526 1.10684475111e+14 4.93155563969e+13 1.60000031507e+14
239.025001526 1.10239505379e+14 4.97605244242e+13 1.60000029803e+14
240.025001526 1.09792614777e+14 5.02074169324e+13 1.60000031709e+14
241.025001526 1.09343819411e+14 5.06562120038e+13 1.60000031414e+14
242.025001526 1.08893146553e+14 5.11068843249e+13 1.60000030878e+14
243.025001526 1.08440619021e+14 5.1559412139e+13 1.6000003116e+14
244.025001526 1.07986264195e+14 5.20137674215e+13 1.60000031617e+14
245.025001526 1.07530106664e+14 5.2469924832e+13 1.60000031496e+14
246.025001526 1.07072176332e+14 5.29278551916e+13 1.60000031523e+14
247.025001526 1.06612500256e+14 5.33875307306e+13 1.60000030987e+14
248.025001526 1.06151112045e+14 5.38489191295e+13 1.60000031175e+14
249.025001526 1.05688041442e+14 5.43119906724e+13 1.60000032115e+14
250.025001526 1.05223318297e+14 5.47767121808e+13 1.60000030477e+14
251.025001526 1.0475698019e+14 5.52430506504e+13 1.6000003084e+14
252.025001526 1.04289058797e+14 5.57109719362e+13 1.60000030733e+14
253.025001526 1.03819590571e+14 5.6180440229e+13 1.600000308e+14
254.025001526 1.03348611269e+14 5.6651419894e+13 1.60000031163e+14
255.025001526 1.02876158148e+14 5.7123873565e+13 1.60000031713e+14
256.025001526 1.0240226863e+14 5.75977620638e+13 1.60000030694e+14
257.025001526 1.01926983247e+14 5.80730477557e+13 1.60000031003e+14
258.025001526 1.01450340278e+14 5.85496911405e+13 1.60000031419e+14
259.025001526 1.00972380473e+14 5.90276510536e+13 1.60000031526e+14
260.025001526 1.00493145921e+14 5.95068865854e+13 1.60000032506e+14
261.025001526 1.00012676996e+14 5.99873545178e+13 1.60000031513e+14
262.025001526 9.95310163241e+13 6.04690153774e+13 1.60000031702e+14
263.025001526 9.9048208091e+13 6.09518227249e+13 1.60000030816e+14
264.025001526 9.85642972861e+13 6.14357342011e+13 1.60000031487e+14
265.025001526 9.80793262148e+13 6.19207046284e+13 1.60000030843e+14
266.025001526 9.75933412627e+13 6.24066886813e+13 1.60000029944e+14
267.025001526 9.71063887619e+13 6.28936430345e+13 1.60000031796e+14
268.025001526 9.66185127894e+13 6.33815185643e+13 1.60000031354e+14
269.025001526 9.61297616099e+13 6.38702691803e+13 1.6000003079e+14
270.025001526 9.56401806964e+13 6.43598508053e+13 1.60000031502e+14
271.025001526 9.51498189041e+13 6.48502120474e+13 1.60000030952e+14
272.025001526 9.4658724122e+13 6.53413079706e+13 1.60000032093e+14
273.025001526 9.41669420377e+13 6.58330890618e+13 1.60000031099e+14
274.025001526 9.36745228487e+13 6.63255081436e+13 1.60000030992e+14
275.025001526 9.31815162692e+13 6.68185150722e+13 1.60000031341e+14
276.025001526 9.26879698122e+13 6.73120617171e+13 1.60000031529e+14
277.025001526 9.219393185e+13 6.78060986595e+13 1.60000030509e+14
278.025001526 9.16994540294e+13 6.83005775271e+13 1.60000031556e+14
279.025001526 9.12045839709e+13 6.87954470488e+13 1.6000003102e+14
280.025001526 9.0709371872e+13 6.92906595237e+13 1.60000031396e+14
281.025001526 9.02138661583e+13 6.97861643785e+13 1.60000030537e+14
282.025001526 8.97181188527e+13 7.02819119795e+13 1.60000030832e+14
283.025001526 8.92221784883e+13 7.0777852505e+13 1.60000030993e+14
284.025001526 8.87260956384e+13 7.12739361335e+13 1.60000031772e+14
285.025001526 8.82299181918e+13 7.17701133118e+13 1.60000031504e+14
286.025001526 8.77336970439e+13 7.22663331713e+13 1.60000030215e+14
287.025001526 8.72374822311e+13 7.27625490042e+13 1.60000031235e+14
288.025001526 8.67413227697e+13 7.32587078752e+13 1.60000030645e+14
289.025001526 8.62452689108e+13 7.37547632643e+13 1.60000032175e+14
290.025001526 8.57493676306e+13 7.42506633366e+13 1.60000030967e+14
291.025001526 8.52536705224e+13 7.47463615991e+13 1.60000032122e+14
292.025001526 8.47582241866e+13 7.52418071029e+13 1.60000031289e+14
293.025001526 8.42630794112e+13 7.57369514489e+13 1.6000003086e+14
294.025001526 8.37682838703e+13 7.62317472046e+13 1.60000031075e+14
295.025001526 8.32738851844e+13 7.67261467764e+13 1.60000031961e+14
296.025001526 8.27799317256e+13 7.72200995373e+13 1.60000031263e+14
297.025001526 8.22864707385e+13 7.77135607661e+13 1.60000031505e+14
298.025001526 8.17935500582e+13 7.82064810707e+13 1.60000031129e+14
299.025001526 8.13012154799e+13 7.8698815649e+13 1.60000031129e+14
300.025001526 8.08095148388e+13 7.91905165318e+13 1.60000031371e+14
301.025001526 8.03184935005e+13 7.96815371185e+13 1.60000030619e+14
302.025001526 7.98281974748e+13 8.01718339228e+13 1.60000031398e+14
